index,run,trial,onset,duration,town,pic,itemNum,resp,respRT,itemType,acc
1,1,1,1.000804332,68.01106127,Town7,env7,1,big bang theory guy,38.66084188,face,1
2,1,1,1.000804332,68.01106127,Town7,env7,2,screwdriver,21.89920911,tool,0
3,1,1,1.000804332,68.01106127,Town7,env7,3,?,7.447064919,animal,0
4,1,2,69.05501766,30.82311613,Town6,env6,1,Taylor Swift,13.26955407,face,1
5,1,2,69.05501766,30.82311613,Town6,env6,2,Alligator,6.624241045,animal,0
6,1,2,69.05501766,30.82311613,Town6,env6,3,Tape measurer,10.92730419,tool,1
7,1,3,99.91984427,11.61906109,Town4,env4,1,saw,9.803310525,tool,1
8,1,3,99.91984427,11.61906109,Town4,env4,2,?,1.14270321,animal,0
9,1,3,99.91984427,11.61906109,Town4,env4,3,?,0.67125604,face,0
10,1,4,111.5812329,28.06213249,Town2,env2,1,?,26.30117059,face,0
11,1,4,111.5812329,28.06213249,Town2,env2,2,?,0.823531988,fruitveg,0
12,1,4,111.5812329,28.06213249,Town2,env2,3,?,0.93551167,tool,0
13,1,5,139.7179047,52.79384334,Town5,env5,1,Jonny Depp,17.93523329,face,0
14,1,5,139.7179047,52.79384334,Town5,env5,2,?,33.86514788,animal,0
15,1,5,139.7179047,52.79384334,Town5,env5,3,?,0.991706877,fruitveg,0
16,1,6,192.5537161,35.54148955,Town10,env10,1,?,34.02007873,fruitveg,0
17,1,6,192.5537161,35.54148955,Town10,env10,2,?,0.760245203,face,0
18,1,6,192.5537161,35.54148955,Town10,env10,3,?,0.759406002,animal,0
19,1,7,228.1368788,18.30881982,Town3,env3,1,Katy Perry,9.580675573,face,0
20,1,7,228.1368788,18.30881982,Town3,env3,2,Apple,5.862835989,animal,0
21,1,7,228.1368788,18.30881982,Town3,env3,3,Stapler,2.863570208,tool,0
22,1,8,246.4878581,18.99007194,Town8,env8,1,Puppy,13.27782039,animal,1
23,1,8,246.4878581,18.99007194,Town8,env8,2,Beyonce,2.815242094,face,1
24,1,8,246.4878581,18.99007194,Town8,env8,3,Lemons,2.895242509,fruitveg,1
25,1,9,265.5207795,16.35620734,Town1,env1,1,George Clooney,11.91401068,face,1
26,1,9,265.5207795,16.35620734,Town1,env1,2,?,2.793027396,animal,0
27,1,9,265.5207795,16.35620734,Town1,env1,3,?,1.647388735,fruitveg,0
28,1,10,281.9194877,38.00210088,Town9,env9,1,Paul,35.26600706,face,1
29,1,10,281.9194877,38.00210088,Town9,env9,2,?,2.150927199,tool,0
30,1,10,281.9194877,38.00210088,Town9,env9,3,?,0.583416001,fruitveg,0
31,1,11,319.9643147,25.99250785,Town12,env12,1,Katy Perry,23.09670994,face,1
32,1,11,319.9643147,25.99250785,Town12,env12,2,Stapler,1.319382023,tool,1
33,1,11,319.9643147,25.99250785,Town12,env12,3,Apple,1.574560817,fruitveg,1
34,1,12,345.9989887,13.27625587,Town11,env11,1,?,11.58828445,face,0
35,1,12,345.9989887,13.27625587,Town11,env11,2,?,0.647059383,fruitveg,0
36,1,12,345.9989887,13.27625587,Town11,env11,3,?,1.039139673,tool,0
37,2,1,1.001632135,27.69420081,Town4,env4,1,saw,7.448284678,tool,1
38,2,1,1.001632135,27.69420081,Town4,env4,2,alligator,7.767139694,animal,1
39,2,1,1.001632135,27.69420081,Town4,env4,3,curly haired brunette woman,12.4747009,face,1
40,2,2,28.74102228,23.44724579,Town2,env2,1,mark zuckerberg,14.07845622,face,1
41,2,2,28.74102228,23.44724579,Town2,env2,2,cucumber,5.094798237,fruitveg,1
42,2,2,28.74102228,23.44724579,Town2,env2,3,scissors,4.272129185,tool,1
43,2,3,52.23402625,12.27129906,Town10,env10,1,grapes,3.345357509,fruitveg,1
44,2,3,52.23402625,12.27129906,Town10,env10,2,katy perry,3.605854564,face,1
45,2,3,52.23402625,12.27129906,Town10,env10,3,duck,5.318317455,animal,1
46,2,4,64.55208642,14.79990294,Town5,env5,1,sherlock,7.431876244,face,1
47,2,4,64.55208642,14.79990294,Town5,env5,2,flamingo,2.736228188,animal,1
48,2,4,64.55208642,14.79990294,Town5,env5,3,watermelon,4.630027254,fruitveg,1
49,2,5,79.39855661,11.96970612,Town1,env1,1,george clooney,7.058392028,face,1
50,2,5,79.39855661,11.96970612,Town1,env1,2,lettuce,3.142268801,fruitveg,1
51,2,5,79.39855661,11.96970612,Town1,env1,3,zebra,1.76712677,animal,1
52,2,6,91.41590143,9.799981993,Town6,env6,1,taylor swift,4.96105665,face,1
53,2,6,91.41590143,9.799981993,Town6,env6,2,tape measurer,3.965588115,tool,1
54,2,6,91.41590143,9.799981993,Town6,env6,3,cow,0.871515042,animal,1
